"PatientID","condition","biopsy_id","neut_state","cell","Recruitment_migration","Retention_aging","Degranulation","NET_associated","Oxidative_burst","Inflammatory","Interferon","Survival_immaturity","Tissue_injury"
"P033","Healthy","P033__Healthy","Erythrocyte","SAM24417584_616154",0.445730577063914,0.624022807889479,0,0,0.520019006574566,1.20432992540683,0,0,1.11015344682403
"P038","Healthy","P038__Healthy","Monocyte-derived macrophage","SAM24419276_331843",0.44560952914463,0.623853340802482,0,0,1.03975556800414,1.15925175479406,0,0,1.1630243781717
"P038","Healthy","P038__Healthy","Monocyte-derived macrophage","SAM24419276_526592",0,0,0,0,0,1.39687765459485,0.97453488329956,0.48726744164978,1.13207281430375
"P038","Healthy","P038__Healthy","Monocyte-derived macrophage","SAM24419276_479881",1.07683208617236,2.22692262042542,0,0,1.19892949964019,1.28493715831825,0,0.513826928417226,1.21811532920997
"P038","Healthy","P038__Healthy","Monocyte-derived macrophage","SAM24419276_646650",0.511017018422896,1.43084765158411,0,0,1.78855956448014,1.36568812126359,0,0.511017018422896,1.09502511103178
"P038","Healthy","P038__Healthy","Erythrocyte","SAM24419276_710036",0,0,0,0,0,0,0,0,0.572337653593272
"P038","Healthy","P038__Healthy","Monocyte-derived macrophage","SAM24419276_58311",1.11693978577398,0.781857850041789,0,0,0.651548208368158,1.38013084351506,0,0,1.11693978577398
"P038","Healthy","P038__Healthy","Monocyte-derived macrophage","SAM24419276_108479",1.2251853967466,0.842081512584143,0,0,0,2.07915277304871,0.556945551580866,0,1.18064415362451
"P038","Healthy","P038__Healthy","Monocyte-derived macrophage","SAM24419276_740575",0.62413829501815,1.68836955089967,0,0,0.678813281561886,0.728161344187842,0,0,1.28299757257612
