cell	UMAP1	UMAP2	PatientID	condition	fib_state	neut_state	pseudotime
"SAM24410862_782096"	4.10717752951357	-4.86361682443436	"P013"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.3442056138251
"SAM24410862_86777"	3.8536234237549	-4.88459527520951	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.3330815228167
"SAM24410862_821069"	3.90100363272401	-5.01942241220292	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.4827699951299
"SAM24410862_348719"	3.8327539302704	-4.68343293695267	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.1180326081744
"SAM24410862_577415"	4.01768210905763	-5.16964137582596	"P013"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.6394371335037
"SAM24410862_145492"	4.06639579313966	-5.10603463678177	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.5752898771293
"SAM24410862_781384"	4.00191191214296	-5.1433433297139	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.6133169994877
"SAM24410862_14102"	3.7429306842682	-4.93521869211014	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.3693598977831
"SAM24410862_881732"	4.09100035208437	-5.09801089792069	"P013"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.566991625297
"SAM24410862_326539"	3.85217741507265	-5.10249984292801	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.5741497016832
"SAM24410862_505626"	3.6983774043915	-4.97469985513504	"P013"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.4280651198266
"SAM24410862_148684"	4.20657042044374	-4.72258698968705	"P013"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.2342164944566
"SAM24410862_47495"	3.96944335478517	-5.35187280206498	"P013"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.8250832313929
"SAM24410862_641668"	3.84573701399538	-5.0387233498555	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.4993095703124
"SAM24410862_65917"	4.10791734236452	-4.97717225580033	"P013"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.4508213116407
"SAM24410862_623344"	3.98815349119875	-5.12228381662186	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.5924125848874
"SAM24410862_202758"	3.96370581167909	-5.48205697564896	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.9555655564789
"SAM24410862_732279"	4.02594712752077	-5.37133157281693	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.8407779445142
"SAM24410862_877703"	3.9484081603882	-5.18218123941239	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.6527505141416
"SAM24410862_275205"	3.8478005267975	-5.24434602289017	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.7228539759852
"SAM24410862_654685"	3.79081491011354	-4.84567821054276	"P013"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.2865635610859
"SAM24410862_76642"	3.94892409819338	-5.18946015863236	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.663046662949
"SAM24410862_315805"	3.9331550933716	-5.26708257226761	"P013"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.7413524401364
"SAM24410862_572044"	3.46526435393068	-4.83207833795365	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.1868445955616
"SAM24410862_338255"	4.28545406836244	-4.60069453744706	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.1314357322879
"SAM24410862_149326"	3.92875674742433	-5.37873733072098	"P013"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.8545693713482
"SAM24410862_112499"	3.78943685072633	-4.69836127786454	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.1236076596018
"SAM24410862_182657"	3.80042603987428	-5.00285422830399	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.461239974782
"SAM24410862_138908"	3.64723113554689	-5.08904922036942	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.562990679306
"SAM24410862_261192"	3.76140883940431	-5.04585731057938	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.5022575222663
"SAM24410862_65661"	3.82657841223451	-5.14287459878739	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.6148080648521
"SAM24410862_288991"	3.86174348372194	-5.17194116143998	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.6434797588171
"SAM24410862_314811"	3.75544432181093	-5.22445094613846	"P013"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.7075389050567
"SAM24410862_763080"	3.90933779257509	-5.1474617722493	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.6184699197291
"SAM24410862_568299"	3.90863779562685	-5.21665656595047	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.69219722141
"SAM24410862_711302"	3.89995029944154	-5.1566489937764	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.6277614948053
"SAM24410862_567976"	3.9421027042267	-5.33923661737259	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.8142753666831
"SAM24410862_500925"	3.9215379096863	-5.17350995569046	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.6443801107777
"SAM24410862_651174"	3.76108459013673	-5.29271876840409	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.7754453933891
"SAM24410862_211723"	3.89758542555544	-5.32803857354935	"P013"	"Uninflamed UC"	"Activated crypt-top fibroblast"	NA	16.806033912615
"SAM24410862_534102"	3.58126834410402	-4.92425572900589	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.338122651457
"SAM24410862_659647"	3.45899847525331	-4.86097037820633	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.2137969343431
"SAM24410862_669225"	3.78439715880129	-5.37548053293045	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.8608283470886
"SAM24410862_831401"	3.75608948248598	-5.33935916452225	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.8266499968357
"SAM24410862_135998"	3.83736852186891	-5.13717067270096	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.608983890059
"SAM24410862_510443"	3.82798579710695	-5.12871396570023	"P013"	"Uninflamed UC"	"Resting crypt-top fibroblast"	NA	16.6006325855033
"SAM24410863_597036"	4.02691391485902	-4.14122569589432	"P013"	"Inflamed UC"	"Resting crypt-top fibroblast"	NA	15.669086255135
"SAM24410863_327979"	4.03663829344484	-5.02841269998368	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.4984679969051
